,Harry Potter and the Chamber of Secrets,Unnamed: 1
6792,"“We’re friends of Hagrid’s,” Harry shouted. His heart seemed to have left his chest to",
6793,pound in his throat.,
6794,"Click, click, click went the pincers of the spiders all around the hollow.",
6795,Aragog paused.,
6796,"“Hagrid has never sent men into our hollow before,” he said slowly.",
6797,Page 235 of 291,
6798,Get free e-books and video tutorials at www.passuneb.com,
6799,,
6800,,
6801,"“Hagrid’s in trouble,” said Harry, breathing very fast. “That’s why we’ve come.”",
6802,"“In trouble?” said the aged spider, and Harry thought he heard concern beneath the",
6803,clicking pincers. “But why has he sent you?”,
6804,Harry thought of getting to his feet but decided against it; he didn’t think his legs would,
6805,"support him. So he spoke from the ground, as calmly as he could.",
6806,"“They think, up at the school, that Hagrid’s been setting a — a — something on",
6807,students. They’ve taken him to Azkaban.”,
6808,"Aragog clicked his pincers furiously, and all around the hollow the sound was echoed by",
6809,"the crowd of spiders; it was like applause, except applause didn’t usually make Harry feel",
6810,sick with fear.,
6811,"“But that was years ago,” said Aragog fretfully. “Years and years ago. I remember it well.",
6812,That’s why they made him leave the school. They believed that I was the monster that,
6813,dwells in what they call the Chamber of Secrets. They thought that Hagrid had opened,
6814,the Chamber and set me free.”,
6815,"“And you… you didn’t come from the Chamber of Secrets?” said Harry, who could feel",
6816,cold sweat on his forehead.,
6817,"“I!” said Aragog, clicking angrily. “I was not born in the castle. I come from a distant",
6818,"land. A traveler gave me to Hagrid when I was an egg. Hagrid was only a boy, but he",
6819,"cared for me, hidden in a cupboard in the castle, feeding me on scraps from the table.",
6820,"Hagrid is my good friend, and a good man. When I was discovered, and blamed for the",
6821,"death of a girl, he protected me. I have lived here in the forest ever since, where Hagrid",
6822,"still visits me. He even found me a wife, Mosag, and you see how our family has grown,",
6823,all through Hagrid’s goodness…”,
6824,Harry summoned what remained of his courage.,
6825,“So you never — never attacked anyone?”,
6826,"“Never,” croaked the old spider. “It would have been my instinct, but out of respect for",
6827,"Hagrid, I never harmed a human. The body of the girl who was killed was discovered in a",
6828,Page 236 of 291,
6829,Get free e-books and video tutorials at www.passuneb.com,
6830,,
6831,,
6832,bathroom. I never saw any part of the castle but the cupboard in which I grew up. Our,
6833,kind like the dark and the quiet…”,
6834,"“But then… Do you know what did kill that girl?” said Harry. “Because whatever it is, it’",
6835,back and attacking people again —”,
6836,His words were drowned by a loud outbreak of clicking and the rustling of many long,
6837,legs shifting angrily; large black shapes shifted all around him.,
6838,"“The thing that lives in the castle,” said Aragog, “is an ancient creature we spiders fea",
6839,"above all others. Well do I remember how I pleaded with Hagrid to let me go, when I",
6840,sensed the beast moving about the school.”,
6841,“What is it?” said Harry urgently.,
6842,"More loud clicking, more rustling; the spiders seemed to be closing in.",
6843,“We do not speak of it!” said Aragog fiercely. “We do not name it! I never even told,
6844,"Hagrid the name of that dread creature, though he asked me, many times.”",
6845,"Harry didn’t want to press the subject, not with the spiders pressing closer on all sides",
6846,"Aragog seemed to be tired of talking. He was backing slowly into his domed web, but",
6847,his fellow spiders continued to inch slowly toward Harry and Ron.,
6848,"“We’ll just go, then,” Harry called desperately to Aragog, hearing leaves rustling behind",
6849,him.,
6850,“Go?” said Aragog slowly. “I think not…”,
6851,“But — but —”,
6852,"“My sons and daughters do not harm Hagrid, on my command. But I cannot deny them",
6853,"fresh meat, when it wanders so willingly into our midst. Good-bye, friend of Hagrid.”",
6854,"Harry spun around. Feet away, towering above him, was a solid wall of spiders, clicking,",
6855,their many eyes gleaming in their ugly black heads.,
6856,Page 237 of 291,
6857,Get free e-books and video tutorials at www.passuneb.com,
6858,,
6859,,
6860,"Even as he reached for his wand, Harry knew it was no good, there were too many of",
6861,"them, but as he tried to stand, ready to die fighting, a loud, long note sounded, and a",
6862,blaze of light flamed through the hollow.,
6863,"Mr. Weasley’s car was thundering down the slope, headlights glaring, its horn",
6864,"screeching, knocking spiders aside; several were thrown onto their backs, their endless",
6865,legs waving in the air. The car screeched to a halt in front of Harry and Ron and the,
6866,doors flew open.,
6867,"“Get Fang!” Harry yelled, diving into the front seat; Ron seized the boarhound around",
6868,"the middle and threw him, yelping, into the back of the car — the doors slammed shut",
6869,— Ron didn’t touch the accelerator but the car didn’t need him; the engine roared and,
6870,"they were off, hitting more spiders. They sped up the slope, out of the hollow, and they",
6871,"were soon crashing through the forest, branches whipping the windows as the car",
6872,"wound its way cleverly through the widest gaps, following a path it obviously knew.",
6873,"Harry looked sideways at Ron. His mouth was still open in the silent scream, but his eyes",
6874,weren’t popping anymore.,
6875,“Are you okay?”,
6876,"Ron stared straight ahead, unable to speak.",
6877,"They smashed their way through the undergrowth, Fang howling loudly in the back seat,",
6878,and Harry saw the side mirror snap off as they squeezed past a large oak. After ten,
6879,"noisy, rocky minutes, the trees thinned, and Harry could again see patches of sky.",
6880,The car stopped so suddenly that they were nearly thrown into the windshield. They had,
6881,reached the edge of the forest. Fang flung himself at the window in his anxiety to get,
6882,"out, and when Harry opened the door, he shot off through the trees to Hagrid’s house,",
6883,"tail between his legs. Harry got out too, and after a minute or so, Ron seemed to regain",
6884,"the feeling in his limbs and followed, still stiff-necked and staring. Harry gave the car a",
6885,grateful pat as it reversed back into the forest and disappeared from view.,
6886,Harry went back into Hagrid’s cabin to get the Invisibility Cloak. Fang was trembling,
6887,"under a blanket in his basket. When Harry got outside again, he found Ron being violent",
6888,sick in the pumpkin patch.,
6889,Page 238 of 291,
6890,Get free e-books and video tutorials at www.passuneb.com,
6891,,
6892,,
6893,"“Follow the spiders,” said Ron weakly, wiping his mouth on his sleeve. “I’ll never forgiv",
6894,Hagrid. We’re lucky to be alive.”,
6895,"“I bet he thought Aragog wouldn’t hurt friends of his,” said Harry.",
6896,"“That’s exactly Hagrid’s problem!” said Ron, thumping the wall of the cabin. “He always",
6897,"thinks monsters aren’t as bad as they’re made out, and look where it’s got him! A cell in",
6898,Azkaban!” He was shivering uncontrollably now. “What was the point of sending us in,
6899,"there? What have we found out, I’d like to know?”",
6900,"“That Hagrid never opened the Chamber of Secrets,” said Harry, throwing the cloak over",
6901,Ron and prodding him in the arm to make him walk. “He was innocent.”,
6902,"Ron gave a loud snort. Evidently, hatching Aragog in a cupboard wasn’t his idea of",
6903,being innocent.,
6904,As the castle loomed nearer Harry twitched the cloak to make sure their feet were,
6905,"hidden, then pushed the creaking front doors ajar. They walked carefully back across the",
6906,"entrance hall and up the marble staircase, holding their breath as they passed corridors",
6907,where watchful sentries were walking. At last they reached the safety of the Gryffindor,
6908,"common room, where the fire had burned itself into glowing ash. They took off the",
6909,cloak and climbed the winding stair to their dormitory.,
6910,"Ron fell onto his bed without bothering to get undressed. Harry, however, didn’t feel",
6911,"very sleepy. He sat on the edge of his fourposter, thinking hard about everything",
6912,Aragog had said.,
6913,"The creature that was lurking somewhere in the castle, he thought, sounded like a sort",
6914,of monster Voldemort — even other monsters didn’t want to name it. But he and Ron,
6915,"were no closer to finding out what it was, or how it petrified its victims. Even Hagrid h",d
6916,never known what was in the Chamber of Secrets.,
6917,"Harry swung his legs up onto his bed and leaned back against his pillows, watching the",
6918,moon glinting at him through the tower window.,
6919,He couldn’t see what else they could do. They had hit dead ends everywhere. Riddle had,
6920,"caught the wrong person, the Heir of Slytherin had got off, and no one could tell whether it",
6921,Page 239 of 291,
6922,Get free e-books and video tutorials at www.passuneb.com,
6923,,
6924,,
6925,"was the same person, or a different one, who had opened the Chamber this time. There was",
6926,"nobody else to ask. Harry lay down, still thinking about what Aragog had said.",
6927,"He was becoming drowsy when what seemed like their very last hope occurred to him,",
